base_strategy,strategy_name,lot_size,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown,win_rate,n_trades,profit_factor,avg_win,avg_loss,expectancy,gross_pnl,net_pnl,total_commission,template,params,category
CorrelationTrader_T0.5_SL20_TP40,CorrelationTrader_L30_T0.5_SL20_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 30, 'T': 0.5, 'SL': 20, 'TP': 40}",LOW (<50)
CorrelationTrader_T0.5_SL20_TP50,CorrelationTrader_L30_T0.5_SL20_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 30, 'T': 0.5, 'SL': 20, 'TP': 50}",LOW (<50)
CorrelationTrader_T0.5_SL30_TP50,CorrelationTrader_L30_T0.5_SL30_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 30, 'T': 0.5, 'SL': 30, 'TP': 50}",LOW (<50)
CorrelationTrader_T1.0_SL10_TP20,CorrelationTrader_L5_T1.0_SL10_TP20,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 5, 'T': 1.0, 'SL': 10, 'TP': 20}",LOW (<50)
CorrelationTrader_T1.0_SL10_TP30,CorrelationTrader_L5_T1.0_SL10_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 5, 'T': 1.0, 'SL': 10, 'TP': 30}",LOW (<50)
CorrelationTrader_T1.0_SL10_TP40,CorrelationTrader_L5_T1.0_SL10_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 5, 'T': 1.0, 'SL': 10, 'TP': 40}",LOW (<50)
CorrelationTrader_T1.0_SL10_TP50,CorrelationTrader_L20_T1.0_SL10_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.0, 'SL': 10, 'TP': 50}",LOW (<50)
CorrelationTrader_T1.0_SL15_TP30,CorrelationTrader_L20_T1.0_SL15_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.0, 'SL': 15, 'TP': 30}",LOW (<50)
CorrelationTrader_T1.0_SL15_TP40,CorrelationTrader_L20_T1.0_SL15_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.0, 'SL': 15, 'TP': 40}",LOW (<50)
CorrelationTrader_T1.0_SL15_TP50,CorrelationTrader_L20_T1.0_SL15_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.0, 'SL': 15, 'TP': 50}",LOW (<50)
CorrelationTrader_T1.0_SL20_TP30,CorrelationTrader_L20_T1.0_SL20_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.0, 'SL': 20, 'TP': 30}",LOW (<50)
CorrelationTrader_T1.0_SL20_TP40,CorrelationTrader_L20_T1.0_SL20_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.0, 'SL': 20, 'TP': 40}",LOW (<50)
CorrelationTrader_T1.0_SL20_TP50,CorrelationTrader_L20_T1.0_SL20_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.0, 'SL': 20, 'TP': 50}",LOW (<50)
CorrelationTrader_T1.0_SL30_TP50,CorrelationTrader_L20_T1.0_SL30_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.0, 'SL': 30, 'TP': 50}",LOW (<50)
CorrelationTrader_T1.5_SL10_TP20,CorrelationTrader_L20_T1.5_SL10_TP20,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 10, 'TP': 20}",LOW (<50)
CorrelationTrader_T1.5_SL10_TP30,CorrelationTrader_L20_T1.5_SL10_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 10, 'TP': 30}",LOW (<50)
CorrelationTrader_T1.5_SL10_TP40,CorrelationTrader_L20_T1.5_SL10_TP40,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 10, 'TP': 40}",LOW (<50)
CorrelationTrader_T1.5_SL10_TP50,CorrelationTrader_L20_T1.5_SL10_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 10, 'TP': 50}",LOW (<50)
CorrelationTrader_T1.5_SL15_TP30,CorrelationTrader_L20_T1.5_SL15_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 15, 'TP': 30}",LOW (<50)
CorrelationTrader_T1.5_SL15_TP40,CorrelationTrader_L20_T1.5_SL15_TP40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 15, 'TP': 40}",LOW (<50)
CorrelationTrader_T1.5_SL15_TP50,CorrelationTrader_L20_T1.5_SL15_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 15, 'TP': 50}",LOW (<50)
CorrelationTrader_T1.5_SL20_TP30,CorrelationTrader_L20_T1.5_SL20_TP30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 20, 'TP': 30}",LOW (<50)
CorrelationTrader_T1.5_SL20_TP40,CorrelationTrader_L20_T1.5_SL20_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 20, 'TP': 40}",LOW (<50)
CorrelationTrader_T1.5_SL20_TP50,CorrelationTrader_L20_T1.5_SL20_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 20, 'TP': 50}",LOW (<50)
CorrelationTrader_T1.5_SL30_TP50,CorrelationTrader_L20_T1.5_SL30_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 1.5, 'SL': 30, 'TP': 50}",LOW (<50)
CorrelationTrader_T2.0_SL10_TP20,CorrelationTrader_L20_T2.0_SL10_TP20,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 10, 'TP': 20}",LOW (<50)
CorrelationTrader_T2.0_SL10_TP30,CorrelationTrader_L20_T2.0_SL10_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 10, 'TP': 30}",LOW (<50)
CorrelationTrader_T2.0_SL10_TP40,CorrelationTrader_L20_T2.0_SL10_TP40,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 10, 'TP': 40}",LOW (<50)
CorrelationTrader_T2.0_SL10_TP50,CorrelationTrader_L20_T2.0_SL10_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 10, 'TP': 50}",LOW (<50)
CorrelationTrader_T2.0_SL15_TP30,CorrelationTrader_L20_T2.0_SL15_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 15, 'TP': 30}",LOW (<50)
CorrelationTrader_T2.0_SL15_TP40,CorrelationTrader_L20_T2.0_SL15_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 15, 'TP': 40}",LOW (<50)
CorrelationTrader_T2.0_SL15_TP50,CorrelationTrader_L20_T2.0_SL15_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 15, 'TP': 50}",LOW (<50)
CorrelationTrader_T2.0_SL20_TP30,CorrelationTrader_L20_T2.0_SL20_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 20, 'TP': 30}",LOW (<50)
CorrelationTrader_T2.0_SL20_TP40,CorrelationTrader_L20_T2.0_SL20_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 20, 'TP': 40}",LOW (<50)
CorrelationTrader_T2.0_SL20_TP50,CorrelationTrader_L20_T2.0_SL20_TP50,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 20, 'TP': 50}",LOW (<50)
CorrelationTrader_T2.0_SL30_TP50,CorrelationTrader_L20_T2.0_SL30_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.0, 'SL': 30, 'TP': 50}",LOW (<50)
CorrelationTrader_T2.5_SL10_TP20,CorrelationTrader_L20_T2.5_SL10_TP20,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 10, 'TP': 20}",LOW (<50)
CorrelationTrader_T2.5_SL10_TP30,CorrelationTrader_L20_T2.5_SL10_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 10, 'TP': 30}",LOW (<50)
CorrelationTrader_T2.5_SL10_TP40,CorrelationTrader_L20_T2.5_SL10_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 10, 'TP': 40}",LOW (<50)
CorrelationTrader_T2.5_SL10_TP50,CorrelationTrader_L20_T2.5_SL10_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 10, 'TP': 50}",LOW (<50)
CorrelationTrader_T2.5_SL15_TP30,CorrelationTrader_L20_T2.5_SL15_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 15, 'TP': 30}",LOW (<50)
CorrelationTrader_T2.5_SL15_TP40,CorrelationTrader_L20_T2.5_SL15_TP40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 15, 'TP': 40}",LOW (<50)
CorrelationTrader_T2.5_SL15_TP50,CorrelationTrader_L20_T2.5_SL15_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 15, 'TP': 50}",LOW (<50)
CorrelationTrader_T2.5_SL20_TP30,CorrelationTrader_L20_T2.5_SL20_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 20, 'TP': 30}",LOW (<50)
CorrelationTrader_T2.5_SL20_TP40,CorrelationTrader_L20_T2.5_SL20_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 20, 'TP': 40}",LOW (<50)
CorrelationTrader_T2.5_SL20_TP50,CorrelationTrader_L20_T2.5_SL20_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 20, 'TP': 50}",LOW (<50)
CorrelationTrader_T2.5_SL30_TP50,CorrelationTrader_L20_T2.5_SL30_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 2.5, 'SL': 30, 'TP': 50}",LOW (<50)
CorrelationTrader_T3.0_SL10_TP20,CorrelationTrader_L20_T3.0_SL10_TP20,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 3.0, 'SL': 10, 'TP': 20}",LOW (<50)
CorrelationTrader_T3.0_SL10_TP30,CorrelationTrader_L20_T3.0_SL10_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 3.0, 'SL': 10, 'TP': 30}",LOW (<50)
CorrelationTrader_T3.0_SL10_TP40,CorrelationTrader_L20_T3.0_SL10_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 3.0, 'SL': 10, 'TP': 40}",LOW (<50)
CorrelationTrader_T3.0_SL10_TP50,CorrelationTrader_L20_T3.0_SL10_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 3.0, 'SL': 10, 'TP': 50}",LOW (<50)
CorrelationTrader_T3.0_SL15_TP30,CorrelationTrader_L20_T3.0_SL15_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 3.0, 'SL': 15, 'TP': 30}",LOW (<50)
CorrelationTrader_T3.0_SL15_TP40,CorrelationTrader_L20_T3.0_SL15_TP40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 3.0, 'SL': 15, 'TP': 40}",LOW (<50)
CorrelationTrader_T3.0_SL15_TP50,CorrelationTrader_L20_T3.0_SL15_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 3.0, 'SL': 15, 'TP': 50}",LOW (<50)
CorrelationTrader_T3.0_SL20_TP30,CorrelationTrader_L20_T3.0_SL20_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 3.0, 'SL': 20, 'TP': 30}",LOW (<50)
CorrelationTrader_T3.0_SL20_TP40,CorrelationTrader_L20_T3.0_SL20_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 20, 'T': 3.0, 'SL': 20, 'TP': 40}",LOW (<50)
